id;name;sku;description;category;unit_of_measure;total_carbon_footprint;created_date;last_modified_date
1;an righteously;aha beside;aftershock die;without;meh grasshopper;17819.12;2026-01-05T20:16:53;2026-01-05T02:50:09
2;yuck;but loosely gray;amid;really strange booster;meanwhile;31226.1;2026-01-05T07:12:53;2026-01-05T08:16:31
3;calmly faithfully shape;even extremely;astride likewise money;infantilize overhang;wildlife;22317.82;2026-01-05T15:11:49;2026-01-05T23:03:18
4;nearest notwithstanding ack;naive yet;however waterskiing;punctually an;amid symbolise why;14363.74;2026-01-05T13:59:57;2026-01-05T01:46:35
5;concerning;immunise;abaft swiftly unless;minus;worth;24833;2026-01-05T00:43:45;2026-01-05T22:56:13
6;sound jut trim;soothe warden abaft;brr hopelessly;boohoo equally calm;safely wash storage;27220.29;2026-01-05T18:35:39;2026-01-05T02:44:42
7;surround however;restfully though;probable outside yuck;romaine;scientific the ticket;3840.14;2026-01-05T08:10:10;2026-01-05T22:00:17
8;intermix;upon accidentally cashier;behind cover;given authentic zebrafish;vain;22685.86;2026-01-05T06:06:47;2026-01-05T21:41:12
9;dearly including through;silly homeownership;brilliant pish but;pish loathsome oh;escape;5071.72;2026-01-05T13:27:53;2026-01-04T23:09:22
10;into barring likewise;land detailed;of atop;blah;aw;26199.29;2026-01-05T10:44:57;2026-01-05T03:11:13
